Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9
0.890,0.007,0.807,0.839,0.952,0.949,0.854,0.869,0.837
0.053,0.030,0.075,0.006,0.038,0.017,0.939,0.926,0.014
0.229,0.144,0.644,0.407,0.207,0.044,0.706,0.797,0.139
0.432,0.122,0.055,0.042,0.398,0.306,0.475,0.343,0.174
0.959,0.001,0.010,0.254,0.993,0.998,0.923,0.871,0.745
0.613,0.003,0.403,0.939,0.800,0.877,0.657,0.724,0.314
0.020,0.025,0.256,0.209,0.012,0.003,0.702,0.838,0.009
0.020,0.025,0.256,0.209,0.012,0.003,0.702,0.838,0.009
0.020,0.025,0.256,0.209,0.012,0.003,0.702,0.838,0.009
0.803,0.019,0.074,0.017,0.859,0.751,0.912,0.844,0.306
0.947,0.010,0.410,0.498,0.985,0.990,0.889,0.903,0.905
0.986,0.052,0.034,0.007,0.995,0.996,0.845,0.892,0.952
0.986,0.052,0.034,0.007,0.995,0.996,0.845,0.892,0.952
0.984,0.004,0.017,0.065,0.998,0.998,0.844,0.828,0.897
0.348,0.175,0.026,0.027,0.282,0.280,0.314,0.249,0.124
0.564,0.056,0.507,0.556,0.644,0.608,0.742,0.673,0.292
0.944,0.009,0.336,0.359,0.983,0.979,0.889,0.925,0.869
0.444,0.242,0.248,0.077,0.393,0.275,0.643,0.668,0.203
0.093,0.099,0.160,0.268,0.073,0.098,0.748,0.724,0.053
0.147,0.023,0.023,0.022,0.122,0.150,0.757,0.619,0.054
0.192,0.016,0.045,0.101,0.177,0.223,0.663,0.590,0.081
0.149,0.017,0.837,0.601,0.156,0.054,0.934,0.949,0.077
0.088,0.004,0.941,0.278,0.086,0.148,0.974,0.975,0.094
0.597,0.006,0.355,0.287,0.736,0.686,0.931,0.940,0.267
0.092,0.102,0.890,0.715,0.079,0.113,0.887,0.931,0.073
0.326,0.016,0.249,0.406,0.378,0.460,0.812,0.876,0.180
0.917,0.013,0.091,0.262,0.975,0.989,0.870,0.829,0.748
0.058,0.011,0.008,0.001,0.046,0.023,0.932,0.905,0.014
0.022,0.066,0.218,0.226,0.015,0.006,0.485,0.441,0.013
0.788,0.016,0.669,0.464,0.867,0.826,0.894,0.907,0.680
0.177,0.049,0.010,0.003,0.146,0.112,0.739,0.668,0.040
0.909,0.006,0.659,0.510,0.965,0.959,0.935,0.952,0.796
0.682,0.046,0.623,0.327,0.717,0.627,0.860,0.868,0.471
0.593,0.094,0.004,0.002,0.598,0.713,0.448,0.311,0.179
0.237,0.048,0.876,0.496,0.213,0.135,0.913,0.896,0.171
0.011,0.980,0.331,0.210,0.004,0.008,0.729,0.986,0.015
0.144,0.024,0.286,0.567,0.178,0.120,0.732,0.618,0.061
0.978,0.006,0.040,0.060,0.996,0.998,0.898,0.879,0.917
0.383,0.042,0.847,0.771,0.376,0.324,0.825,0.850,0.316
0.533,0.118,0.026,0.022,0.530,0.535,0.431,0.285,0.236
0.411,0.175,0.291,0.730,0.450,0.495,0.577,0.664,0.227
0.410,0.178,0.295,0.725,0.447,0.489,0.576,0.666,0.227
0.932,0.008,0.378,0.805,0.980,0.986,0.757,0.706,0.854
0.463,0.005,0.095,0.149,0.604,0.796,0.899,0.812,0.182
0.858,0.020,0.184,0.476,0.935,0.980,0.793,0.804,0.671
0.640,0.074,0.738,0.397,0.657,0.543,0.851,0.843,0.477
0.002,0.116,0.019,0.010,0.001,0.005,0.801,0.937,0.002
0.846,0.087,0.023,0.017,0.910,0.963,0.810,0.758,0.620
0.043,0.798,0.120,0.239,0.027,0.046,0.451,0.910,0.023
0.106,0.077,0.009,0.004,0.092,0.077,0.683,0.683,0.029
0.119,0.071,0.820,0.738,0.094,0.043,0.743,0.815,0.083
0.886,0.025,0.201,0.113,0.938,0.918,0.877,0.916,0.688
0.895,0.010,0.044,0.964,0.981,0.996,0.841,0.735,0.719
0.132,0.077,0.030,0.058,0.117,0.158,0.471,0.441,0.061
0.125,0.074,0.031,0.023,0.096,0.041,0.587,0.629,0.052
0.918,0.005,0.210,0.243,0.967,0.986,0.923,0.898,0.732
0.327,0.155,0.011,0.027,0.351,0.415,0.543,0.654,0.132
0.327,0.155,0.011,0.027,0.351,0.415,0.543,0.654,0.132
0.016,0.609,0.307,0.073,0.011,0.010,0.658,0.945,0.009
0.006,0.843,0.006,0.001,0.003,0.003,0.297,0.557,0.004
0.779,0.062,0.040,0.014,0.814,0.675,0.683,0.482,0.294
0.781,0.008,0.592,0.394,0.871,0.818,0.926,0.922,0.635
0.273,0.010,0.962,0.939,0.366,0.317,0.920,0.918,0.280
0.860,0.011,0.336,0.857,0.945,0.964,0.736,0.773,0.642
0.844,0.016,0.018,0.032,0.922,0.948,0.704,0.515,0.494
0.264,0.014,0.831,0.710,0.194,0.281,0.844,0.800,0.135
0.583,0.007,0.578,0.264,0.697,0.552,0.952,0.933,0.260
0.297,0.085,0.117,0.035,0.282,0.151,0.740,0.522,0.113
0.966,0.002,0.362,0.554,0.993,0.996,0.924,0.947,0.905
0.006,0.039,0.008,0.002,0.004,0.003,0.751,0.880,0.002
0.005,0.033,0.019,0.007,0.003,0.003,0.829,0.923,0.002
0.100,0.128,0.176,0.506,0.095,0.085,0.696,0.604,0.069
0.694,0.018,0.092,0.043,0.786,0.806,0.879,0.749,0.392
0.226,0.028,0.507,0.215,0.210,0.128,0.896,0.854,0.081
0.979,0.009,0.196,0.558,0.996,0.997,0.825,0.876,0.927
0.533,0.097,0.291,0.061,0.506,0.435,0.817,0.685,0.295
0.534,0.466,0.091,0.087,0.593,0.423,0.666,0.935,0.325
0.534,0.466,0.091,0.087,0.593,0.423,0.666,0.935,0.325
0.534,0.466,0.091,0.087,0.593,0.423,0.666,0.935,0.325
0.572,0.089,0.111,0.043,0.552,0.258,0.646,0.481,0.218
0.724,0.239,0.020,0.012,0.772,0.617,0.671,0.450,0.371
0.918,0.058,0.092,0.021,0.944,0.934,0.824,0.862,0.763
0.527,0.040,0.769,0.673,0.546,0.498,0.815,0.912,0.288
0.603,0.076,0.295,0.748,0.702,0.803,0.681,0.633,0.377
0.104,0.003,0.924,0.350,0.103,0.131,0.973,0.974,0.109
0.314,0.049,0.807,0.408,0.294,0.168,0.892,0.910,0.198
0.417,0.020,0.129,0.868,0.573,0.737,0.676,0.619,0.216
0.652,0.002,0.176,0.108,0.850,0.819,0.934,0.895,0.325
0.937,0.138,0.145,0.064,0.966,0.957,0.832,0.942,0.796
0.147,0.140,0.015,0.006,0.110,0.095,0.570,0.437,0.044
0.046,0.043,0.027,0.020,0.039,0.027,0.749,0.761,0.017
0.932,0.018,0.043,0.142,0.979,0.989,0.845,0.833,0.780
0.285,0.221,0.023,0.032,0.326,0.325,0.417,0.357,0.147
0.929,0.015,0.044,0.156,0.978,0.989,0.843,0.827,0.768
0.569,0.004,0.041,0.012,0.707,0.588,0.948,0.875,0.226
0.774,0.057,0.204,0.795,0.897,0.887,0.649,0.654,0.615
0.406,0.015,0.641,0.667,0.517,0.473,0.860,0.846,0.264
0.127,0.027,0.041,0.337,0.178,0.335,0.848,0.814,0.075
0.036,0.264,0.027,0.048,0.021,0.040,0.383,0.560,0.019
0.359,0.631,0.026,0.016,0.322,0.430,0.515,0.627,0.119
0.528,0.018,0.789,0.662,0.625,0.437,0.895,0.889,0.395
0.844,0.003,0.055,0.946,0.973,0.985,0.891,0.908,0.574
0.157,0.041,0.010,0.002,0.143,0.188,0.816,0.658,0.039
0.370,0.687,0.551,0.668,0.313,0.447,0.580,0.730,0.305
0.016,0.174,0.066,0.021,0.009,0.005,0.352,0.309,0.008
0.356,0.026,0.803,0.531,0.363,0.294,0.906,0.946,0.176
0.705,0.032,0.368,0.407,0.814,0.812,0.767,0.674,0.487
0.630,0.078,0.091,0.026,0.643,0.600,0.799,0.623,0.310
0.007,0.222,0.056,0.070,0.003,0.007,0.484,0.773,0.006
0.056,0.116,0.046,0.015,0.035,0.019,0.610,0.749,0.025
0.021,0.098,0.828,0.250,0.014,0.005,0.918,0.967,0.010
0.177,0.015,0.842,0.912,0.209,0.168,0.854,0.892,0.114
0.446,0.101,0.788,0.684,0.427,0.399,0.709,0.792,0.342
0.363,0.052,0.008,0.007,0.360,0.271,0.724,0.677,0.120
0.906,0.071,0.029,0.010,0.939,0.939,0.778,0.631,0.734
0.615,0.014,0.264,0.440,0.758,0.565,0.712,0.814,0.377
0.105,0.050,0.017,0.002,0.077,0.053,0.796,0.659,0.025
0.894,0.033,0.658,0.680,0.932,0.950,0.769,0.782,0.760
0.677,0.034,0.220,0.667,0.816,0.848,0.779,0.755,0.425
0.712,0.105,0.130,0.026,0.761,0.837,0.901,0.939,0.349
0.059,0.035,0.147,0.002,0.034,0.044,0.968,0.924,0.016
0.041,0.003,0.832,0.204,0.036,0.070,0.977,0.966,0.034
0.305,0.046,0.892,0.650,0.291,0.173,0.880,0.895,0.225
0.805,0.121,0.819,0.587,0.825,0.782,0.549,0.690,0.771
0.965,0.003,0.012,0.638,0.996,0.998,0.879,0.808,0.823
0.830,0.032,0.684,0.521,0.897,0.868,0.834,0.912,0.659
0.830,0.032,0.684,0.521,0.897,0.868,0.834,0.912,0.659
0.494,0.002,0.284,0.778,0.683,0.733,0.750,0.803,0.248
0.941,0.006,0.696,0.709,0.981,0.979,0.890,0.945,0.877
0.941,0.006,0.696,0.709,0.981,0.979,0.890,0.945,0.877
0.544,0.025,0.298,0.808,0.721,0.881,0.798,0.762,0.323
0.033,0.285,0.001,0.000,0.022,0.031,0.652,0.593,0.009
0.918,0.003,0.049,0.059,0.966,0.990,0.912,0.856,0.594
0.830,0.088,0.537,0.957,0.889,0.948,0.574,0.513,0.691
0.509,0.012,0.851,0.907,0.558,0.593,0.772,0.802,0.432
0.153,0.012,0.522,0.733,0.152,0.128,0.681,0.736,0.082
0.590,0.167,0.133,0.260,0.626,0.620,0.526,0.599,0.294
0.932,0.018,0.011,0.021,0.972,0.946,0.692,0.726,0.535
0.219,0.087,0.007,0.008,0.207,0.255,0.616,0.688,0.081
0.023,0.077,0.004,0.000,0.013,0.010,0.855,0.782,0.005
0.457,0.060,0.789,0.715,0.454,0.400,0.731,0.792,0.352
0.143,0.021,0.456,0.486,0.151,0.056,0.861,0.943,0.075
0.305,0.031,0.932,0.870,0.333,0.287,0.857,0.870,0.264
0.470,0.049,0.244,0.541,0.589,0.604,0.785,0.759,0.250
0.073,0.039,0.179,0.660,0.059,0.061,0.513,0.475,0.045
0.978,0.002,0.007,0.502,0.998,0.999,0.878,0.803,0.883
0.946,0.810,0.007,0.004,0.940,0.932,0.291,0.370,0.760
0.126,0.163,0.106,0.740,0.156,0.218,0.571,0.725,0.071
0.587,0.216,0.209,0.224,0.582,0.577,0.559,0.693,0.311
0.216,0.131,0.009,0.005,0.160,0.146,0.491,0.449,0.076
0.370,0.037,0.234,0.640,0.405,0.522,0.578,0.584,0.181
0.620,0.068,0.009,0.009,0.685,0.591,0.666,0.471,0.225
0.134,0.041,0.288,0.496,0.109,0.080,0.553,0.485,0.079
0.441,0.061,0.882,0.623,0.440,0.386,0.865,0.876,0.392
0.608,0.090,0.011,0.009,0.647,0.692,0.462,0.306,0.257
0.431,0.278,0.020,0.006,0.390,0.306,0.545,0.361,0.156
0.862,0.054,0.017,0.021,0.913,0.946,0.619,0.452,0.620
0.829,0.123,0.204,0.258,0.887,0.896,0.679,0.751,0.572
0.168,0.044,0.706,0.429,0.132,0.107,0.889,0.880,0.071
0.099,0.590,0.048,0.019,0.084,0.039,0.382,0.858,0.080
0.099,0.590,0.048,0.019,0.084,0.039,0.382,0.858,0.080
0.099,0.590,0.048,0.019,0.084,0.039,0.382,0.858,0.080
0.219,0.042,0.895,0.667,0.194,0.146,0.899,0.905,0.139
0.016,0.051,0.770,0.215,0.012,0.005,0.945,0.986,0.006
0.015,0.863,0.170,0.045,0.007,0.009,0.773,0.983,0.012
0.015,0.863,0.170,0.045,0.007,0.009,0.773,0.983,0.012
0.511,0.176,0.173,0.153,0.566,0.619,0.682,0.833,0.311
0.423,0.049,0.031,0.337,0.592,0.576,0.857,0.795,0.178
0.819,0.069,0.351,0.126,0.880,0.680,0.856,0.929,0.497
0.204,0.037,0.885,0.727,0.185,0.100,0.862,0.890,0.128
0.897,0.006,0.133,0.090,0.958,0.943,0.929,0.920,0.729
0.463,0.028,0.938,0.939,0.539,0.543,0.866,0.807,0.397
0.751,0.030,0.706,0.301,0.766,0.809,0.750,0.863,0.659
0.662,0.015,0.312,0.247,0.717,0.843,0.881,0.909,0.344
0.946,0.009,0.420,0.459,0.985,0.990,0.917,0.955,0.846
0.038,0.019,0.754,0.299,0.031,0.028,0.962,0.970,0.016
0.208,0.016,0.864,0.864,0.208,0.193,0.832,0.940,0.135
0.208,0.016,0.864,0.864,0.208,0.193,0.832,0.940,0.135
0.041,0.019,0.050,0.025,0.030,0.014,0.849,0.930,0.014
0.041,0.019,0.050,0.025,0.030,0.014,0.849,0.930,0.014
0.041,0.019,0.050,0.025,0.030,0.014,0.849,0.930,0.014
0.141,0.050,0.170,0.357,0.121,0.124,0.576,0.515,0.086
0.052,0.084,0.134,0.188,0.049,0.037,0.804,0.837,0.030
0.036,0.009,0.731,0.317,0.031,0.021,0.946,0.929,0.020
0.892,0.243,0.008,0.013,0.959,0.965,0.832,0.921,0.559
0.517,0.035,0.673,0.409,0.578,0.391,0.819,0.882,0.237
0.019,0.988,0.008,0.000,0.007,0.009,0.162,0.657,0.019
0.269,0.039,0.878,0.782,0.274,0.263,0.867,0.837,0.250
0.940,0.018,0.009,0.004,0.973,0.972,0.809,0.653,0.697
0.721,0.048,0.497,0.392,0.771,0.898,0.866,0.929,0.487
0.721,0.048,0.497,0.392,0.771,0.898,0.866,0.929,0.487
0.721,0.048,0.497,0.392,0.771,0.898,0.866,0.929,0.487
0.032,0.016,0.269,0.285,0.021,0.006,0.681,0.705,0.012
0.482,0.016,0.531,0.264,0.573,0.358,0.906,0.880,0.284
0.256,0.019,0.745,0.919,0.340,0.210,0.734,0.655,0.201
0.945,0.078,0.232,0.045,0.960,0.938,0.827,0.870,0.806
0.768,0.022,0.370,0.423,0.872,0.740,0.783,0.855,0.577
0.509,0.201,0.045,0.017,0.493,0.289,0.453,0.531,0.148
0.012,0.564,0.077,0.006,0.006,0.011,0.831,0.909,0.013
0.429,0.010,0.789,0.868,0.578,0.473,0.833,0.865,0.351
0.917,0.023,0.016,0.098,0.977,0.986,0.738,0.555,0.682
0.025,0.250,0.471,0.283,0.016,0.006,0.579,0.733,0.017
0.404,0.029,0.894,0.853,0.482,0.449,0.859,0.796,0.386
0.951,0.007,0.324,0.292,0.986,0.987,0.913,0.954,0.860
0.037,0.082,0.033,0.060,0.029,0.042,0.611,0.587,0.023
0.065,0.093,0.808,0.781,0.049,0.021,0.734,0.804,0.050
0.938,0.015,0.175,0.924,0.984,0.994,0.812,0.813,0.808
0.362,0.035,0.849,0.627,0.400,0.332,0.883,0.821,0.316
0.053,0.049,0.607,0.284,0.043,0.029,0.869,0.874,0.025
0.009,0.360,0.007,0.002,0.005,0.025,0.816,0.959,0.010
0.281,0.015,0.772,0.635,0.315,0.186,0.902,0.943,0.141
0.758,0.019,0.739,0.354,0.832,0.674,0.936,0.937,0.604
0.296,0.149,0.017,0.006,0.278,0.265,0.692,0.388,0.080
0.283,0.143,0.018,0.006,0.264,0.251,0.699,0.400,0.076
0.732,0.356,0.025,0.005,0.712,0.530,0.501,0.287,0.340
0.566,0.024,0.079,0.253,0.736,0.884,0.804,0.732,0.306
0.025,0.337,0.004,0.000,0.014,0.015,0.643,0.628,0.008
0.941,0.011,0.015,0.033,0.978,0.992,0.890,0.914,0.697
0.275,0.022,0.912,0.883,0.313,0.305,0.878,0.912,0.173
0.320,0.061,0.094,0.028,0.289,0.229,0.786,0.651,0.118
0.808,0.003,0.042,0.525,0.954,0.971,0.880,0.840,0.539
0.426,0.295,0.041,0.010,0.401,0.279,0.590,0.370,0.173
0.330,0.014,0.795,0.715,0.392,0.303,0.849,0.817,0.225
0.376,0.046,0.742,0.320,0.380,0.211,0.893,0.886,0.191
0.925,0.051,0.005,0.002,0.953,0.888,0.596,0.467,0.498
0.947,0.012,0.043,0.298,0.988,0.991,0.822,0.806,0.754
0.485,0.034,0.808,0.740,0.516,0.467,0.797,0.821,0.438
0.946,0.017,0.063,0.975,0.990,0.996,0.830,0.832,0.791
0.658,0.330,0.008,0.003,0.670,0.683,0.441,0.332,0.309
0.497,0.187,0.472,0.193,0.453,0.358,0.722,0.675,0.328
0.060,0.051,0.667,0.717,0.047,0.025,0.675,0.713,0.038
0.234,0.571,0.044,0.006,0.184,0.134,0.481,0.533,0.076
0.505,0.138,0.582,0.765,0.521,0.642,0.641,0.673,0.343
0.395,0.015,0.961,0.791,0.450,0.424,0.946,0.928,0.373
0.054,0.013,0.487,0.443,0.039,0.009,0.824,0.920,0.021
0.173,0.013,0.324,0.526,0.163,0.072,0.779,0.898,0.084
0.334,0.029,0.195,0.092,0.364,0.286,0.852,0.844,0.148
0.208,0.065,0.098,0.114,0.167,0.109,0.298,0.236,0.101
0.021,0.240,0.016,0.004,0.011,0.013,0.470,0.728,0.014
0.184,0.343,0.318,0.164,0.191,0.075,0.686,0.905,0.117
0.184,0.343,0.318,0.164,0.191,0.075,0.686,0.905,0.117
0.944,0.063,0.251,0.562,0.976,0.992,0.878,0.927,0.834
0.192,0.039,0.768,0.635,0.144,0.149,0.690,0.727,0.104
0.371,0.011,0.961,0.921,0.453,0.470,0.940,0.945,0.303
0.953,0.024,0.137,0.061,0.980,0.979,0.838,0.852,0.848
0.064,0.034,0.046,0.015,0.058,0.035,0.828,0.832,0.019
0.145,0.030,0.779,0.888,0.121,0.150,0.742,0.779,0.097
0.394,0.133,0.004,0.001,0.404,0.290,0.624,0.469,0.115
0.982,0.013,0.566,0.415,0.995,0.996,0.812,0.868,0.950
0.982,0.013,0.566,0.415,0.995,0.996,0.812,0.868,0.950
0.354,0.138,0.720,0.675,0.318,0.272,0.642,0.688,0.291
0.836,0.107,0.072,0.022,0.866,0.880,0.687,0.655,0.587
0.017,0.242,0.060,0.032,0.011,0.006,0.261,0.357,0.012
0.017,0.242,0.060,0.032,0.011,0.006,0.261,0.357,0.012
0.939,0.335,0.007,0.000,0.937,0.937,0.437,0.310,0.777
0.943,0.004,0.017,0.943,0.994,0.997,0.885,0.886,0.762
0.774,0.470,0.029,0.014,0.837,0.519,0.447,0.925,0.500
0.932,0.012,0.744,0.633,0.973,0.969,0.886,0.919,0.891
0.231,0.008,0.962,0.988,0.286,0.284,0.915,0.957,0.156
0.955,0.003,0.023,0.050,0.989,0.995,0.935,0.895,0.694
0.617,0.013,0.489,0.646,0.752,0.571,0.782,0.834,0.441
0.976,0.004,0.055,0.164,0.996,0.998,0.920,0.911,0.913
0.976,0.004,0.055,0.164,0.996,0.998,0.920,0.911,0.913
0.600,0.316,0.009,0.001,0.559,0.363,0.555,0.281,0.207
0.157,0.057,0.024,0.034,0.148,0.124,0.566,0.464,0.071
0.099,0.056,0.027,0.039,0.090,0.079,0.596,0.531,0.051
0.050,0.106,0.184,0.097,0.032,0.010,0.431,0.400,0.023
0.150,0.054,0.025,0.037,0.141,0.118,0.569,0.473,0.069
0.182,0.031,0.435,0.282,0.155,0.039,0.827,0.899,0.082
0.378,0.002,0.982,0.976,0.459,0.358,0.944,0.971,0.273
0.299,0.006,0.804,0.918,0.403,0.518,0.876,0.882,0.171
0.408,0.156,0.028,0.053,0.433,0.409,0.268,0.255,0.194
0.264,0.005,0.527,0.062,0.252,0.412,0.957,0.901,0.174
0.021,0.068,0.234,0.245,0.014,0.005,0.475,0.431,0.012
0.957,0.002,0.032,0.982,0.996,0.998,0.892,0.888,0.816
0.107,0.133,0.100,0.035,0.082,0.050,0.714,0.668,0.041
0.012,0.027,0.210,0.230,0.007,0.002,0.640,0.688,0.006
0.012,0.027,0.210,0.230,0.007,0.002,0.640,0.688,0.006
0.152,0.451,0.024,0.005,0.128,0.104,0.676,0.534,0.066
0.152,0.451,0.024,0.005,0.128,0.104,0.676,0.534,0.066
0.046,0.053,0.007,0.002,0.030,0.030,0.737,0.702,0.013
0.005,0.186,0.014,0.007,0.003,0.020,0.891,0.978,0.003
0.115,0.968,0.090,0.040,0.070,0.067,0.067,0.494,0.089
0.644,0.023,0.224,0.219,0.708,0.551,0.908,0.969,0.274
0.644,0.023,0.224,0.219,0.708,0.551,0.908,0.969,0.274
0.644,0.023,0.224,0.219,0.708,0.551,0.908,0.969,0.274
0.197,0.286,0.211,0.083,0.198,0.099,0.642,0.656,0.117
0.092,0.935,0.053,0.015,0.041,0.032,0.115,0.660,0.024
0.384,0.086,0.363,0.137,0.414,0.318,0.846,0.761,0.197
0.661,0.082,0.427,0.591,0.734,0.825,0.749,0.751,0.433
0.513,0.095,0.689,0.599,0.520,0.419,0.649,0.692,0.472
0.513,0.095,0.689,0.599,0.520,0.419,0.649,0.692,0.472
0.622,0.073,0.599,0.704,0.647,0.700,0.718,0.715,0.374
0.782,0.182,0.002,0.001,0.776,0.743,0.264,0.182,0.325
0.525,0.046,0.809,0.896,0.597,0.589,0.743,0.777,0.456
0.029,0.806,0.216,0.116,0.020,0.028,0.805,0.983,0.032
0.134,0.040,0.876,0.677,0.113,0.056,0.900,0.918,0.073
0.180,0.101,0.400,0.131,0.152,0.062,0.747,0.739,0.084
0.004,0.813,0.119,0.071,0.002,0.004,0.432,0.882,0.003
0.110,0.444,0.041,0.099,0.095,0.134,0.310,0.488,0.071
0.371,0.318,0.720,0.555,0.349,0.457,0.738,0.914,0.215
0.033,0.058,0.003,0.004,0.028,0.049,0.763,0.861,0.009
0.045,0.009,0.666,0.080,0.032,0.044,0.954,0.920,0.030
0.774,0.010,0.054,0.755,0.919,0.969,0.739,0.684,0.490
0.256,0.026,0.926,0.964,0.290,0.258,0.816,0.907,0.196
0.088,0.115,0.210,0.132,0.075,0.023,0.550,0.471,0.033
0.684,0.062,0.636,0.324,0.738,0.618,0.819,0.856,0.512
0.858,0.008,0.078,0.127,0.943,0.967,0.896,0.872,0.610
0.449,0.325,0.059,0.031,0.433,0.353,0.456,0.445,0.180
0.881,0.006,0.673,0.476,0.949,0.937,0.944,0.950,0.746
0.670,0.029,0.643,0.474,0.741,0.715,0.872,0.872,0.453
0.705,0.200,0.021,0.078,0.792,0.781,0.630,0.904,0.253
0.180,0.023,0.080,0.360,0.200,0.088,0.656,0.692,0.079
0.850,0.023,0.225,0.536,0.932,0.962,0.808,0.822,0.595
0.055,0.090,0.394,0.546,0.037,0.015,0.447,0.462,0.037
0.020,0.016,0.065,0.003,0.013,0.010,0.955,0.938,0.007
0.088,0.438,0.240,0.050,0.067,0.029,0.584,0.698,0.049
0.088,0.438,0.240,0.050,0.067,0.029,0.584,0.698,0.049
0.088,0.438,0.240,0.050,0.067,0.029,0.584,0.698,0.049
0.879,0.049,0.026,0.018,0.926,0.931,0.702,0.600,0.582
0.928,0.008,0.537,0.494,0.973,0.985,0.905,0.921,0.855
0.976,0.027,0.039,0.030,0.992,0.994,0.805,0.859,0.904
0.976,0.027,0.039,0.030,0.992,0.994,0.805,0.859,0.904
0.976,0.027,0.039,0.030,0.992,0.994,0.805,0.859,0.904
0.174,0.068,0.347,0.464,0.169,0.084,0.374,0.480,0.092
0.137,0.082,0.008,0.005,0.132,0.146,0.643,0.646,0.046
0.355,0.126,0.009,0.001,0.318,0.204,0.783,0.448,0.078
0.883,0.026,0.082,0.364,0.956,0.965,0.741,0.738,0.615
0.108,0.103,0.024,0.006,0.084,0.066,0.742,0.616,0.031
0.108,0.103,0.024,0.006,0.084,0.066,0.742,0.616,0.031
0.108,0.103,0.024,0.006,0.084,0.066,0.742,0.616,0.031
0.189,0.377,0.031,0.007,0.163,0.106,0.642,0.462,0.075
0.011,0.544,0.040,0.012,0.005,0.015,0.771,0.966,0.008
0.970,0.012,0.021,0.354,0.995,0.997,0.776,0.704,0.850
0.771,0.082,0.195,0.091,0.824,0.714,0.743,0.723,0.456
